week,title,lecturer,part,link,slides
1,Introduction to rbtl,E. Tilley,Part 1,https://moodle-app2.let.ethz.ch/,[Access slides on Moodle](https://moodle-app2.let.ethz.ch/)
1,Welcome to the course!,L. Schöbitz,Part 2,https://rbtl-fs22.github.io/website/slides/pt2-d01-welcome/pt2-d01-welcome.html,[Access slides in browser](https://rbtl-fs22.github.io/website/slides/pt2-d01-welcome/pt2-d01-welcome.html)
1,Welcome to the course!,L. Schöbitz,Part 2,https://github.com/rbtl-fs22/website/blob/main/slides/pt2-d01-welcome/pt2-d01-welcome.pdf,[Access slides as PDF](https://github.com/rbtl-fs22/website/blob/main/slides/pt2-d01-welcome/pt2-d01-welcome.pdf)
2,Waste Research,E. Tilley,Part 1,https://moodle-app2.let.ethz.ch/,[Access slides on Moodle](https://moodle-app2.let.ethz.ch/)
2,Version control and more tools,L. Schöbitz,Part 2,https://rbtl-fs22.github.io/website/slides/pt2-d02-tools/pt2-d02-tools.html,[Access slides in browser](https://rbtl-fs22.github.io/website/slides/pt2-d02-tools/pt2-d02-tools.html)
2,Version control and more tools,L. Schöbitz,Part 2,https://rbtl-fs22.github.io/website/slides/pt2-d02-tools/pt2-d02-tools.pdf,[Access slides as PDF](https://rbtl-fs22.github.io/website/slides/pt2-d02-tools/pt2-d02-tools.pdf)
3,Research Design,E. Tilley,Part 1,https://moodle-app2.let.ethz.ch/,[Access slides on Moodle](https://moodle-app2.let.ethz.ch/)
3,Reference Management and Open Science,L. Schöbitz,Part 2,https://rbtl-fs22.github.io/website/slides/pt2-d03-reference-management/pt2-d03-reference-management.html,[Access slides in browser](https://rbtl-fs22.github.io/website/slides/pt2-d03-reference-management/pt2-d03-reference-management.html)
3,Reference Management and Open Science,L. Schöbitz,Part 2,https://rbtl-fs22.github.io/website/slides/pt2-d03-reference-management/pt2-d03-reference-management.pdf,[Access slides as PDF](https://rbtl-fs22.github.io/website/slides/pt2-d03-reference-management/pt2-d03-reference-management.pdf)
4,Survey Design,E. Tilley,Part 1,https://moodle-app2.let.ethz.ch/,[Access slides on Moodle](https://moodle-app2.let.ethz.ch/)
4,Literate Programming with R Markdown,L. Schöbitz,Part 2,https://rbtl-fs22.github.io/website/slides/pt2-d04-rmarkdown/pt2-d04-rmarkdown.html,[Access slides in browser](https://rbtl-fs22.github.io/website/slides/pt2-d04-rmarkdown/pt2-d04-rmarkdown.html)
4,Literate Programming with R Markdown,L. Schöbitz,Part 2,https://rbtl-fs22.github.io/website/slides/pt2-d04-rmarkdown/pt2-d04-rmarkdown.pdf,[Access slides as PDF](https://rbtl-fs22.github.io/website/slides/pt2-d04-rmarkdown/pt2-d04-rmarkdown.pdf)
5,Tools for Data Collection and Data Management,L. Schöbitz,Part 2,https://rbtl-fs22.github.io/website/slides/pt2-d05-data-management/pt2-d05-data-management.html,[Access slides in browser](https://rbtl-fs22.github.io/website/slides/pt2-d05-data-management/pt2-d05-data-management.html)
5,Tools for Data Collection and Data Management,L. Schöbitz,Part 2,https://rbtl-fs22.github.io/website/slides/pt2-d05-data-management/pt2-d05-data-management.pdf,[Access slides as PDF](https://rbtl-fs22.github.io/website/slides/pt2-d05-data-management/pt2-d05-data-management.pdf)
