date,week,title,lecturer,summary,location
2022-02-24T00:00:00Z,1,Welcome!,E. Tilley and L. Schöbitz,"In our first lecture, we will discuss the objectives and intentions of the course, begin our discussion on terminology and get to know each other.",classroom
2022-03-03T00:00:00Z,2,Waste Research,E. Tilley,What is waste and why do we care about it? We discuss the solid waste service change in both majority countries and in Switzerland and compare the challenges. We discuss how to properly formulate a research question which will then form the basis of the group project.,classroom
2022-03-10T00:00:00Z,3,Research Design,E. Tilley,"Having a good research design will ensure that you are not “comparing apples to oranges”. We discuss the sample population, the concept of randomization, and classic study designs.",classroom
2022-03-17T00:00:00Z,4,Survey Design,E. Tilley,The key to good data is asking the right question. We discuss the different types of questions and variables that constitute a good questionnaire.,classroom
2022-03-24T00:00:00Z,5,Tools for Data Collection and Data Management,L. Schöbitz,"What do you use to collect and manage your data? We introduce you to an ETH tool available for staff and students. We also review good practices for data organization in spreadsheets, as they are commonly used tools for data entry and storage.",Zoom
2022-03-31T00:00:00Z,6,Pre-test and logistics,E. Tilley and L. Schöbitz,"We check, double-check and then check our research tools again and get ready for data collection next week!",classroom
2022-04-07T00:00:00Z,7,Data collection,E. Tilley and L. Schöbitz,"We use our prepared data tools that will provide the data that we need to answer the research questions and start to collect the data. Some groups will conduct interviews, others will have the opportunity to access the infrastructure (public bins, facilities, etc.) owned by the City of Zurich and take physical measurements of the flowstream in question.",city
2022-04-14T00:00:00Z,8,Data Import and Data Types,L. Schöbitz,Let’s get cracking with R. You have your data and it is time learn how to import it to R. We will also teach you how to get support solving coding problems online.,Zoom
2022-04-21T00:00:00Z,9,Easter Break,NA,NA,NA
2022-04-28T00:00:00Z,10,Exploratory Data Analysis using Data Visualisation,L. Schöbitz,"This lecture will teach you how to explore your data in a systematic way using data visualisation, and how you can tweak your plot to your preferences.",Zoom
2022-05-05T00:00:00Z,11,Data transformation with dplyr,L. Schöbitz,"Data is rarely in the right form that you need it.  You will have to create new variables or rename them, or you need to create summary statistics of your data. In this lecture you will learn how to transform your data into the format you need.",Zoom
2022-05-12T00:00:00Z,12,Data transformation with tidyr,L. Schöbitz,A large amount of time during data analysis is typically spend on cleaning data. In this lecture you will learn more about the concept of tidy data and how to organize it. You will learn how to join two or more datasets and how to get data from a wide into a long format.,Zoom
2022-05-19T00:00:00Z,13,Communicate your findings,L. Schöbitz,"It does not matter how good your research design is or how useful your data visualisations and models are, if you cannot communicate and present your findings to others. In this lecture, you will learn some more about how you can best utilize the R Markdown file format write your group project report.",Zoom
2022-06-02T00:00:00Z,14,Workshop/Feedback/Exam,E. Tilley and L. Schöbitz,"We will use this week to support your in writing your group project report. You will receive technical support and intellectual support in framing your results. This week will also give you the opportunity to provide us with feedback on this course. Lastly, we will clarify the expectations regarding the exam.",classroom
2022-06-09T00:00:00Z,15,Project Submission Deadline,All,NA,NA
2022-06-16T00:00:00Z,16,Exam,All,NA,NA
